,Radius,MaxStress
0,26.00,2718660.0
1,84.00,21511700.0
2,13.00,2292050.0
3,2.00,1508870.0
4,48.00,4218350.0
5,51.00,4541700.0
6,39.00,3500780.0
7,88.00,29738700.0
8,66.00,7353130.0
9,16.00,2306680.0
10,52.00,4576990.0
11,22.00,2577910.0
12,77.00,12439000.0
13,98.00,548434000.0
14,42.00,3541220.0
15,31.00,2907820.0
16,38.00,3405770.0
17,92.00,51063600.0
18,34.00,3143920.0
19,55.00,4946560.0
20,8.00,1757750.0
21,52.00,4576990.0
22,15.00,2225330.0
23,4.00,1513100.0
24,57.00,5283790.0
25,26.00,2718660.0
26,25.00,2632270.0
27,40.00,3533690.0
28,41.00,3633820.0
29,39.00,3500780.0
30,64.00,6806000.0
31,33.00,3134510.0
32,32.00,3087250.0
33,21.00,2495800.0
34,7.00,1589090.0
35,32.00,3087250.0
36,67.00,7612140.0
37,81.00,16563000.0
38,96.00,670266000.0
39,70.00,8607500.0
40,24.00,2631030.0
41,44.00,3830900.0
42,78.00,13433600.0
43,33.00,3134510.0
44,14.00,2031620.0
45,36.00,3257240.0
46,51.00,4541700.0
47,51.00,4541700.0
48,21.00,2495800.0
49,61.00,6118480.0
